City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
325,matara,LK,77.67,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
329,hambantota,LK,76.48,overcast clouds,6.1241,81.1185,Bungalow 63
330,iranshahr,IR,77.34,clear sky,27.2025,60.6848,نیک سرشت
335,kaura namoda,NG,88.63,broken clouds,12.5898,6.5779,Moonlight Hotel
342,comodoro rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
350,sabang,ID,81.88,heavy intensity rain,5.8933,95.3214,Hotel Citra
351,dingle,PH,75.72,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
352,anloga,GH,80.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
354,san jose de las lajas,CU,86.23,broken clouds,22.9614,-82.1511,Hostal Spirit
355,jaumave,MX,77.95,scattered clouds,23.4167,-99.3833,HOTEL CIENEGA
356,cukai,MY,78.75,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
363,teluknaga,ID,82.63,haze,-6.0989,106.6381,Bale Ocasa hotel
369,luanda,AO,77.0,scattered clouds,-8.8368,13.2343,Hotel Fórum
377,san carlos,VE,86.7,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
381,buala,SB,80.29,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
388,salta,AR,88.57,few clouds,-24.7859,-65.4117,Hotel Alejandro I
391,elk city,US,77.22,overcast clouds,35.412,-99.4043,Hampton Inn & Suites Elk City
393,san cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
394,port blair,IN,80.69,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
395,lake city,US,84.92,clear sky,30.1897,-82.6393,Ramada Limited Lake City
396,bengkulu,ID,76.03,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
398,tecoanapa,MX,84.31,scattered clouds,16.5167,-98.75,Hotel Manglares
